Year,Yield,Tractors,Pop_growth,Agric_land_percent,fertilizer_usage,gdp_percent,co2_emissions,methane_emissions,Female_employment
1960,1.69,0.21,2.04,59.48,0.06,20.80,0.57,138377.52,44.34
1961,1.50,0.21,2.04,59.48,0.07,20.80,0.57,138377.52,44.34
1962,1.62,0.23,2.09,59.65,0.09,20.80,0.57,138377.52,44.34
1963,1.72,0.23,2.11,59.81,0.12,20.80,0.57,138377.52,44.34
1964,1.76,0.24,2.14,59.97,0.15,20.80,0.57,138377.52,44.34
1965,1.55,0.34,2.17,60.13,0.30,20.80,0.57,138377.52,44.34
1966,1.41,0.48,2.17,60.18,0.30,20.80,0.57,138377.52,44.34
1967,1.42,0.55,2.11,59.91,0.41,20.80,0.57,138377.52,44.34
1968,1.90,0.62,2.10,60.07,0.42,20.80,0.57,138377.52,44.34
1969,1.90,0.68,2.14,60.34,0.28,20.80,0.57,138377.52,44.34
1970,1.78,0.91,2.20,60.56,0.37,20.80,0.57,138377.52,44.34
1971,1.41,1.14,2.26,60.72,0.77,20.80,0.57,138377.52,44.34
1972,1.62,1.54,2.32,60.88,0.60,20.80,0.57,138377.52,44.34
1973,1.79,1.46,2.43,61.04,1.13,20.80,0.57,138377.52,44.34
1974,1.92,1.89,2.57,61.20,2.11,20.80,0.57,138377.52,44.34
1975,1.58,2.17,2.73,61.36,3.05,20.80,0.57,138377.52,44.34
1976,1.66,2.38,2.83,61.53,2.84,20.80,0.57,138377.52,44.34
1977,1.54,3.27,2.94,61.39,2.73,20.80,0.57,138377.52,44.34
1978,1.65,3.87,3.02,61.51,4.11,20.80,0.57,138377.52,44.34
1979,1.65,4.43,3.04,61.85,6.57,20.80,0.57,138377.52,44.34
1980,1.65,4.29,3.06,62.08,8.01,20.80,0.57,138377.52,44.34
1981,1.63,5.44,3.00,62.20,7.96,12.24,0.57,138377.52,44.34
1982,1.62,5.45,2.90,62.32,9.64,13.50,0.57,138377.52,44.34
1983,1.41,5.74,2.51,62.44,9.84,14.99,0.57,138377.52,44.34
1984,1.98,5.05,2.47,62.77,8.18,18.31,0.57,138377.52,44.34
1985,1.85,4.85,2.73,63.11,9.38,18.23,0.57,138377.52,44.34
1986,1.90,4.20,2.62,63.34,8.55,18.02,0.57,138377.52,44.34
1987,1.90,4.39,2.58,63.43,11.73,20.55,0.57,138377.52,44.34
1988,2.03,4.55,2.59,63.64,13.05,23.37,0.57,138377.52,44.34
1989,2.03,4.75,2.61,63.79,14.26,21.28,0.57,138377.52,44.34
1990,3.03,4.93,2.63,64.47,14.80,21.56,0.76,140698.30,44.34
1991,2.84,4.82,2.56,65.26,14.62,20.89,0.84,147689.74,46.55
1992,2.88,4.98,2.52,66.53,15.32,20.32,0.92,152953.04,46.30
1993,3.00,5.17,2.56,66.93,9.55,23.49,0.84,155143.89,46.17
1994,3.15,5.19,2.57,67.98,5.56,25.17,0.74,157860.76,46.04
1995,3.28,5.06,2.56,70.36,5.24,25.49,0.80,153698.89,46.01
1996,2.83,5.20,2.53,70.53,4.15,26.20,0.90,156702.75,45.70
1997,2.53,5.35,2.52,70.71,4.80,27.42,0.87,151533.53,45.30
1998,2.74,5.38,2.52,71.60,4.79,27.91,0.76,140158.57,44.67
1999,2.72,5.39,2.54,71.76,5.36,26.03,0.73,130276.71,44.23
2000,2.53,5.54,2.60,71.93,6.20,21.36,0.79,130181.91,43.46
2001,3.03,6.06,2.65,72.10,4.31,24.48,0.81,132592.12,42.75
2002,3.05,6.18,2.68,72.26,6.02,36.97,0.71,124198.19,42.14
2003,3.11,6.29,2.69,72.42,4.45,33.83,0.76,135178.94,41.36
2004,3.45,6.57,2.70,72.58,7.24,27.23,0.72,139680.80,40.08
2005,3.42,6.39,2.69,72.75,10.32,26.09,0.70,141851.72,38.97
2006,3.60,6.52,2.70,72.90,4.34,24.73,0.62,139813.12,37.77
2007,3.55,6.70,2.71,73.07,5.90,24.66,0.55,137074.24,36.29
2008,4.04,3.77,2.72,73.23,4.57,25.28,0.57,134464.92,35.34
2009,3.75,3.84,2.73,73.39,11.21,26.75,0.49,131971.19,34.29
2010,3.28,3.92,2.74,73.56,6.20,23.89,0.56,143412.41,33.30
2011,2.30,4.00,2.76,73.72,8.43,22.23,0.57,145721.25,32.27
2012,2.71,4.08,2.75,73.89,8.51,21.86,0.56,146252.23,30.45
2013,2.27,4.16,2.70,74.05,8.96,20.76,0.62,143561.01,28.57
2014,2.71,4.24,2.63,74.22,7.97,19.99,0.64,144981.77,28.37
2015,2.68,4.31,2.54,74.37,10.73,20.63,0.59,144436.08,28.36
2016,2.65,4.39,2.51,74.54,20.30,20.98,0.59,145045.81,28.75
2017,2.70,4.47,2.53,74.70,18.84,20.85,0.56,148911.73,29.32
2018,2.96,4.55,2.50,74.87,18.61,21.20,0.57,151730.12,29.64
2019,3.32,4.62,2.45,75.04,18.61,21.91,0.59,155074.76,30.00
2020,3.41,4.69,2.44,75.20,18.61,24.14,0.54,151059.77,29.96
2021,3.42,4.75,2.41,75.37,6.91,23.36,0.63,141069.44,29.77
2022,3.48,4.82,2.38,67.00,7.02,23.69,0.63,141113.57,28.86
2023,3.00,4.87,2.38,67.12,7.14,22.72,0.63,141158.42,40.60
2024,3.44,4.93,2.56,67.25,7.25,22.28,0.63,141204.01,40.54
